name,code,category,brand,size,unitPrice,minStockLevel,initial_stock
"Deluxe Mattress (75x30x3)",M15DE,"Standard Foam Mattresses",Deluxe,75x30x3,15063.3,5,0
"Deluxe Mattress (75x30x4)",M10DE,"Standard Foam Mattresses",Deluxe,75x30x4,19828.52,5,4
"Deluxe Mattress (75x30x6)",M5DE6,"Standard Foam Mattresses",Deluxe,75x30x6,28134.23,5,2
"Deluxe Mattress (75x36x4)",M9DE,"Standard Foam Mattresses",Deluxe,75x36x4,22017.2,5,0
"Deluxe Mattress (75x36x6)",M4DE6,"Standard Foam Mattresses",Deluxe,75x36x6,34797.16,5,3
"Deluxe Mattress (75x36x8)",M4DE8,"Standard Foam Mattresses",Deluxe,75x36x8,47907.74,5,4
"Deluxe Mattress (75x36x10)",M42DE,"Standard Foam Mattresses",Deluxe,75x36x10,0,5,0
"Deluxe Mattress (75x42x6)",M3DE6,"Standard Foam Mattresses",Deluxe,75x42x6,41025.56,5,16
"Deluxe Mattress (75x42x8)",M3DE8,"Standard Foam Mattresses",Deluxe,75x42x8,53871.13,5,8
"Deluxe Mattress (75x42x10)",M32DE,"Standard Foam Mattresses",Deluxe,75x42x10,66247.67,5,2
"Deluxe Mattress (75x42x12)",M33DE,"Standard Foam Mattresses",Deluxe,75x42x12,77559.97,5,0
"Deluxe Mattress (75x48x6)",M2DE6,"Standard Foam Mattresses",Deluxe,75x48x6,43572.44,5,0
"Deluxe Mattress (75x48x8)",M2DE8,"Standard Foam Mattresses",Deluxe,75x48x8,56869.44,5,0
"Deluxe Mattress (75x48x10)",M22DE,"Standard Foam Mattresses",Deluxe,75x48x10,72605.45,5,0
"Deluxe Mattress (75x48x12)",M23DE,"Standard Foam Mattresses",Deluxe,75x48x12,86141.56,5,0
"Deluxe Mattress (75x54x6)",M1DE6,"Standard Foam Mattresses",Deluxe,75x54x6,49480.84,5,7
"Deluxe Mattress (75x54x8)",M1DE8,"Standard Foam Mattresses",Deluxe,75x54x8,68854.12,5,9
"Deluxe Mattress (75x54x10)",M12DE,"Standard Foam Mattresses",Deluxe,75x54x10,77792.96,5,3
"Deluxe Mattress (75x54x12)",M13DE,"Standard Foam Mattresses",Deluxe,75x54x12,103001.58,5,0
"Deluxe Mattress (75x54x14)",M14DE,"Standard Foam Mattresses",Deluxe,75x54x14,106097.51,5,0
"Deluxe Mattress (75x54x16)",M16DE,"Standard Foam Mattresses",Deluxe,75x54x16,0,5,0
"Deluxe Mattress (75x54x18)",M18DE,"Standard Foam Mattresses",Deluxe,75x54x18,0,5,0
"Deluxe Mattress (75x54x20)",M20DE,"Standard Foam Mattresses",Deluxe,75x54x20,0,5,0
"Deluxe Mattress (75x60x8)",M5DE,"Standard Foam Mattresses",Deluxe,75x60x8,0,5,0
"Deluxe Mattress (75x60x10)",M52DE,"Standard Foam Mattresses",Deluxe,75x60x10,0,5,0
"Deluxe Mattress (75x60x12)",M53DE,"Standard Foam Mattresses",Deluxe,75x60x12,0,5,0
"Deluxe Mattress (75x60x14)",M54DE,"Standard Foam Mattresses",Deluxe,75x60x14,0,5,0
"Deluxe Mattress (75x60x16)",M56DE,"Standard Foam Mattresses",Deluxe,75x60x16,0,5,0
"Deluxe Mattress (75x60x18)",M58DE,"Standard Foam Mattresses",Deluxe,75x60x18,0,5,0
"Deluxe Mattress (75x60x20)",M50DE,"Standard Foam Mattresses",Deluxe,75x60x20,0,5,0
"Deluxe Mattress (75x72x8)",M6DE,"Standard Foam Mattresses",Deluxe,75x72x8,87017.22,5,0
"Deluxe Mattress (75x72x10)",M62DE,"Standard Foam Mattresses",Deluxe,75x72x10,108277.51,5,0
"Deluxe Mattress (75x72x12)",M63DE,"Standard Foam Mattresses",Deluxe,75x72x12,136281.21,5,0
"Deluxe Mattress (75x72x14)",M64DE,"Standard Foam Mattresses",Deluxe,75x72x14,0,5,0
"Deluxe Mattress (75x72x16)",M66DE,"Standard Foam Mattresses",Deluxe,75x72x16,0,5,0
"Deluxe Mattress (75x72x18)",M68DE,"Standard Foam Mattresses",Deluxe,75x72x18,0,5,0
"Deluxe Mattress (75x72x20)",M70DE,"Standard Foam Mattresses",Deluxe,75x72x20,0,5,0
"Deluxe Mattress (75x84x8)",M7DE,"Standard Foam Mattresses",Deluxe,75x84x8,108665.51,5,0
"Deluxe Mattress (75x84x10)",M72DE,"Standard Foam Mattresses",Deluxe,75x84x10,132235.33,5,0
"Deluxe Mattress (75x84x12)",M73DE,"Standard Foam Mattresses",Deluxe,75x84x12,146521.66,5,0
"Deluxe Mattress (75x84x14)",M74DE,"Standard Foam Mattresses",Deluxe,75x84x14,0,5,0
"Deluxe Mattress (75x84x16)",M76DE,"Standard Foam Mattresses",Deluxe,75x84x16,0,5,0
"Deluxe Mattress (75x84x18)",M78DE,"Standard Foam Mattresses",Deluxe,75x84x18,0,5,0
"Deluxe Mattress (75x84x20)",M80DE,"Standard Foam Mattresses",Deluxe,75x84x20,0,5,0
"Deluxe Mattress (84x84x8)",M8DE,"Standard Foam Mattresses",Deluxe,84x84x8,0,5,0
"Deluxe Mattress (84x84x10)",M82DE,"Standard Foam Mattresses",Deluxe,84x84x10,0,5,0
"Deluxe Mattress (84x84x12)",M83DE,"Standard Foam Mattresses",Deluxe,84x84x12,0,5,0
"Deluxe Mattress (84x84x14)",M94DE,"Standard Foam Mattresses",Deluxe,84x84x14,0,5,0
"Deluxe Mattress (84x84x16)",M96DE,"Standard Foam Mattresses",Deluxe,84x84x16,0,5,0
"Deluxe Mattress (84x84x18)",M98DE,"Standard Foam Mattresses",Deluxe,84x84x18,0,5,0
"Deluxe Mattress (84x84x20)",M90DE,"Standard Foam Mattresses",Deluxe,84x84x20,0,5,0
"Deluxe Mattress (79x42x8)",M84DE,"Standard Foam Mattresses",Deluxe,79x42x8,0,5,0
"Deluxe Mattress (79x42x10)",M85DE,"Standard Foam Mattresses",Deluxe,79x42x10,0,5,0
"Deluxe Mattress (79x63x8)",M86DE,"Standard Foam Mattresses",Deluxe,79x63x8,0,5,0
"Deluxe Mattress (79x71x8)",M87DE,"Standard Foam Mattresses",Deluxe,79x71x8,0,5,0
"Deluxe Mattress (79x71x10)",M91DE,"Standard Foam Mattresses",Deluxe,79x71x10,0,5,0
"Deluxe Mattress (79x71x12)",M93DE,"Standard Foam Mattresses",Deluxe,79x71x12,0,5,0
"Deluxe Mattress (79x72x8)",M88DE,"Standard Foam Mattresses",Deluxe,79x72x8,0,5,0
"Shine Mattress (75x30x3)",M15SH,"Standard Foam Mattresses",Shine,75x30x3,17958.85,5,0
"Shine Mattress (75x30x4)",M10SH,"Standard Foam Mattresses",Shine,75x30x4,24409.39,5,4
"Shine Mattress (75x30x6)",M5SH6,"Standard Foam Mattresses",Shine,75x30x6,32804.28,5,0
"Shine Mattress (75x36x4)",M9SH,"Standard Foam Mattresses",Shine,75x36x4,29297.26,5,0
"Shine Mattress (75x36x6)",M4SH6,"Standard Foam Mattresses",Shine,75x36x6,40071.85,5,0
"Shine Mattress (75x42x6)",M3SH6,"Standard Foam Mattresses",Shine,75x42x6,43774.56,5,9
"Shine Mattress (75x42x8)",M3SH8,"Standard Foam Mattresses",Shine,75x42x8,57698.46,5,1
"Shine Mattress (75x42x10)",M32SH,"Standard Foam Mattresses",Shine,75x42x10,0,5,0
"Shine Mattress (75x48x6)",M2SH6,"Standard Foam Mattresses",Shine,75x48x6,0,5,0
"Shine Mattress (75x48x8)",M2SH8,"Standard Foam Mattresses",Shine,75x48x8,0,5,1
"Shine Mattress (75x54x6)",M1SH6,"Standard Foam Mattresses",Shine,75x54x6,0,5,3
"Shine Mattress (75x54x8)",M1SH8,"Standard Foam Mattresses",Shine,75x54x8,73834.77,5,2
"Shine Mattress (75x54x10)",M12SH,"Standard Foam Mattresses",Shine,75x54x10,90217.24,5,1
"Shine Mattress (75x54x14)",M14SH,"Standard Foam Mattresses",Shine,75x54x14,0,5,0
"Shine Mattress (75x72x10)",M62SH,"Standard Foam Mattresses",Shine,75x72x10,117951.59,5,0
"Shine Mattress (75x72x12)",M63SH,"Standard Foam Mattresses",Shine,75x72x12,148619,5,0
"Shine Mattress (75x72x14)",M64SH,"Standard Foam Mattresses",Shine,75x72x14,0,5,0
"Shine Mattress (75x72x16)",M66SH,"Standard Foam Mattresses",Shine,75x72x16,0,5,0
"Shine Mattress (75x72x18)",M68SH,"Standard Foam Mattresses",Shine,75x72x18,0,5,0
"Shine Mattress (75x72x20)",M70SH,"Standard Foam Mattresses",Shine,75x72x20,0,5,0
"Shine Mattress (75x84x8)",M7SH,"Standard Foam Mattresses",Shine,75x84x8,106523.81,5,0
"Shine Mattress (75x84x10)",M72SH,"Standard Foam Mattresses",Shine,75x84x10,132848.69,5,0
"Shine Mattress (75x84x12)",M73SH,"Standard Foam Mattresses",Shine,75x84x12,0,5,0
"Shine Mattress (75x84x14)",M74SH,"Standard Foam Mattresses",Shine,75x84x14,0,5,0
"Shine Mattress (75x84x16)",M76SH,"Standard Foam Mattresses",Shine,75x84x16,0,5,0
"Shine Mattress (75x84x18)",M78SH,"Standard Foam Mattresses",Shine,75x84x18,0,5,0
"Shine Mattress (75x84x20)",M80SH,"Standard Foam Mattresses",Shine,75x84x20,0,5,0
"Shine Mattress (84x84x8)",M8SH,"Standard Foam Mattresses",Shine,84x84x8,127224.24,5,0
"Shine Mattress (84x84x10)",M82SH,"Standard Foam Mattresses",Shine,84x84x10,0,5,0
"Shine Mattress (84x84x12)",M83SH,"Standard Foam Mattresses",Shine,84x84x12,0,5,0
"Shine Mattress (84x84x14)",M94SH,"Standard Foam Mattresses",Shine,84x84x14,0,5,0
"Shine Mattress (84x84x16)",M96SH,"Standard Foam Mattresses",Shine,84x84x16,0,5,0
