name,code,category,brand,size,unitPrice,minStockLevel,initial_stock
"Haven Mattress (75x84x8)",M7VH,"Standard Foam Mattresses",Haven,75x84x8,20000,5,0
"Haven Mattress (75x84x10)",M72VH,"Standard Foam Mattresses",Haven,75x84x10,20000,5,0
"Haven Mattress (75x84x12)",M73VH,"Standard Foam Mattresses",Haven,75x84x12,20000,5,0
"Haven Mattress (75x84x14)",M74VH,"Standard Foam Mattresses",Haven,75x84x14,20000,5,0
"Haven Mattress (75x84x16)",M76VH,"Standard Foam Mattresses",Haven,75x84x16,20000,5,0
"Haven Mattress (75x84x18)",M78VH,"Standard Foam Mattresses",Haven,75x84x18,20000,5,0
"Haven Mattress (75x84x20)",M80VH,"Standard Foam Mattresses",Haven,75x84x20,20000,5,0
"Haven Mattress (84x84x8)",M8VH,"Standard Foam Mattresses",Haven,84x84x8,20000,5,0
"Haven Mattress (84x84x10)",M82VH,"Standard Foam Mattresses",Haven,84x84x10,20000,5,0
"Haven Mattress (84x84x12)",M83VH,"Standard Foam Mattresses",Haven,84x84x12,20000,5,0
"Haven Mattress (84x84x14)",M94VH,"Standard Foam Mattresses",Haven,84x84x14,20000,5,0
"Haven Mattress (84x84x16)",M96VH,"Standard Foam Mattresses",Haven,84x84x16,20000,5,0
"Haven Mattress (84x84x18)",M98VH,"Standard Foam Mattresses",Haven,84x84x18,20000,5,0
"Haven Mattress (84x84x20)",M90VH,"Standard Foam Mattresses",Haven,84x84x20,20000,5,0
"Haven Mattress (79x42x8)",M84VH,"Standard Foam Mattresses",Haven,79x42x8,20000,5,0
"Haven Mattress (79x42x10)",M85VH,"Standard Foam Mattresses",Haven,79x42x10,20000,5,0
"Haven Mattress (79x63x8)",M86VH,"Standard Foam Mattresses",Haven,79x63x8,20000,5,0
"Haven Mattress (79x71x8)",M87VH,"Standard Foam Mattresses",Haven,79x71x8,20000,5,0
"Haven Mattress (79x71x10)",M91VH,"Standard Foam Mattresses",Haven,79x71x10,20000,5,0
"Haven Mattress (79x71x12)",M93VH,"Standard Foam Mattresses",Haven,79x71x12,20000,5,0
"Haven Mattress (79x72x8)",M88VH,"Standard Foam Mattresses",Haven,79x72x8,20000,5,0
"Supreme Mattress (75x30x4)",M10VS,"Standard Foam Mattresses",Supreme,75x30x4,20000,5,0
"Supreme Mattress (75x36x4)",M9VS,"Standard Foam Mattresses",Supreme,75x36x4,20000,5,0
"Supreme Mattress (75x36x6)",M4VS6,"Standard Foam Mattresses",Supreme,75x36x6,20000,5,0
"Supreme Mattress (75x36x8)",M4VS,"Standard Foam Mattresses",Supreme,75x36x8,20000,5,0
"Supreme Mattress (75x36x10)",M42VS,"Standard Foam Mattresses",Supreme,75x36x10,20000,5,0
"Supreme Mattress (75x42x6)",M3VS6,"Standard Foam Mattresses",Supreme,75x42x6,20000,5,0
"Supreme Mattress (75x42x8)",M3VS,"Standard Foam Mattresses",Supreme,75x42x8,20000,5,0
"Supreme Mattress (75x42x10)",M32VS,"Standard Foam Mattresses",Supreme,75x42x10,20000,5,0
"Supreme Mattress (75x42x12)",M33VS,"Standard Foam Mattresses",Supreme,75x42x12,20000,5,0
"Supreme Mattress (75x48x6)",M2VS6,"Standard Foam Mattresses",Supreme,75x48x6,20000,5,0
"Supreme Mattress (75x48x8)",M2VS,"Standard Foam Mattresses",Supreme,75x48x8,20000,5,0
"Supreme Mattress (75x48x10)",M22VS,"Standard Foam Mattresses",Supreme,75x48x10,20000,5,0
"Supreme Mattress (75x48x12)",M23VS,"Standard Foam Mattresses",Supreme,75x48x12,20000,5,0
"Supreme Mattress (75x54x6)",M1VS6,"Standard Foam Mattresses",Supreme,75x54x6,20000,5,0
"Supreme Mattress (75x54x8)",M1VS,"Standard Foam Mattresses",Supreme,75x54x8,20000,5,0
"Supreme Mattress (75x54x10)",M12VS,"Standard Foam Mattresses",Supreme,75x54x10,20000,5,0
"Supreme Mattress (75x54x12)",M13VS,"Standard Foam Mattresses",Supreme,75x54x12,20000,5,0
"Supreme Mattress (75x54x14)",M14VS,"Standard Foam Mattresses",Supreme,75x54x14,20000,5,0
"Supreme Mattress (75x54x16)",M16VS,"Standard Foam Mattresses",Supreme,75x54x16,20000,5,0
"Supreme Mattress (75x54x18)",M18VS,"Standard Foam Mattresses",Supreme,75x54x18,20000,5,0
"Supreme Mattress (75x54x20)",M20VS,"Standard Foam Mattresses",Supreme,75x54x20,20000,5,0
"Supreme Mattress (75x60x8)",M5VS,"Standard Foam Mattresses",Supreme,75x60x8,20000,5,0
"Supreme Mattress (75x60x10)",M52VS,"Standard Foam Mattresses",Supreme,75x60x10,20000,5,0
"Supreme Mattress (75x60x12)",M53VS,"Standard Foam Mattresses",Supreme,75x60x12,20000,5,0
"Supreme Mattress (75x60x14)",M54VS,"Standard Foam Mattresses",Supreme,75x60x14,20000,5,0
"Supreme Mattress (75x60x16)",M56VS,"Standard Foam Mattresses",Supreme,75x60x16,20000,5,0
"Supreme Mattress (75x60x18)",M58VS,"Standard Foam Mattresses",Supreme,75x60x18,20000,5,0
"Supreme Mattress (75x60x20)",M50VS,"Standard Foam Mattresses",Supreme,75x60x20,20000,5,0
"Supreme Mattress (75x72x8)",M6VS,"Standard Foam Mattresses",Supreme,75x72x8,20000,5,0
"Supreme Mattress (75x72x10)",M62VS,"Standard Foam Mattresses",Supreme,75x72x10,20000,5,0
"Supreme Mattress (75x72x12)",M63VS,"Standard Foam Mattresses",Supreme,75x72x12,20000,5,0
"Supreme Mattress (75x72x14)",M64VS,"Standard Foam Mattresses",Supreme,75x72x14,20000,5,0
"Supreme Mattress (75x72x16)",M66VS,"Standard Foam Mattresses",Supreme,75x72x16,20000,5,0
"Supreme Mattress (75x72x18)",M68VS,"Standard Foam Mattresses",Supreme,75x72x18,20000,5,0
"Supreme Mattress (75x72x20)",M70VS,"Standard Foam Mattresses",Supreme,75x72x20,20000,5,0
"Supreme Mattress (75x84x8)",M7VS,"Standard Foam Mattresses",Supreme,75x84x8,20000,5,0
"Supreme Mattress (75x84x10)",M72VS,"Standard Foam Mattresses",Supreme,75x84x10,20000,5,0
"Supreme Mattress (75x84x12)",M73VS,"Standard Foam Mattresses",Supreme,75x84x12,20000,5,0
"Supreme Mattress (75x84x14)",M74VS,"Standard Foam Mattresses",Supreme,75x84x14,20000,5,0
"Supreme Mattress (75x84x16)",M76VS,"Standard Foam Mattresses",Supreme,75x84x16,20000,5,0
"Supreme Mattress (75x84x18)",M78VS,"Standard Foam Mattresses",Supreme,75x84x18,20000,5,0
